"OD750","OD680","Observation_Date_Time"
0.809,1.227,"1/10/2015 10:00:00 AM"
0.84,1.299,"1/10/2015 10:00:00 AM"
0.218,0.296,"1/10/2015 10:30:00 AM"
0.809,1.227,"1/10/2015 9:00:00 AM"
0.809,1.227,"1/10/2015 9:00:00 AM"
0.84,1.299,"1/10/2015 9:00:00 AM"
0.84,1.299,"1/10/2015 9:00:00 AM"
0.84,1.299,"1/10/2015 9:00:00 AM"
0.218,0.296,"1/10/2015 9:30:00 AM"
0.218,0.296,"1/10/2015 9:30:00 AM"
0.329,0.449,"1/12/2015 10:00:00 AM"
0.926,1.426,"1/12/2015 10:30:00 AM"
0.96,1.506,"1/12/2015 10:30:00 AM"
0.329,0.449,"1/12/2015 9:00:00 AM"
0.329,0.449,"1/12/2015 9:00:00 AM"
0.926,1.426,"1/12/2015 9:30:00 AM"
0.926,1.426,"1/12/2015 9:30:00 AM"
0.96,1.506,"1/12/2015 9:30:00 AM"
0.96,1.506,"1/12/2015 9:30:00 AM"
0.96,1.506,"1/12/2015 9:30:00 AM"
0.374,0.525,"1/13/2015 10:00:00 AM"
1.16,1.622,"1/13/2015 10:00:00 AM"
1.185,1.683,"1/13/2015 10:00:00 AM"
0.374,0.525,"1/13/2015 9:00:00 AM"
0.374,0.525,"1/13/2015 9:00:00 AM"
1.16,1.622,"1/13/2015 9:00:00 AM"
1.16,1.622,"1/13/2015 9:00:00 AM"
1.185,1.683,"1/13/2015 9:00:00 AM"
1.185,1.683,"1/13/2015 9:00:00 AM"
1.185,1.683,"1/13/2015 9:00:00 AM"
0.41,0.561,"1/14/2015 10:00:00 AM"
1.202,1.698,"1/14/2015 10:00:00 AM"
1.222,1.736,"1/14/2015 10:00:00 AM"
0.41,0.561,"1/14/2015 9:00:00 AM"
0.41,0.561,"1/14/2015 9:00:00 AM"
1.202,1.698,"1/14/2015 9:00:00 AM"
1.202,1.698,"1/14/2015 9:00:00 AM"
1.222,1.736,"1/14/2015 9:00:00 AM"
1.222,1.736,"1/14/2015 9:00:00 AM"
1.222,1.736,"1/14/2015 9:00:00 AM"
0.508,0.715,"1/15/2015 10:00:00 AM"
1.241,1.823,"1/15/2015 10:00:00 AM"
1.264,1.835,"1/15/2015 10:00:00 AM"
0.508,0.715,"1/15/2015 9:00:00 AM"
0.508,0.715,"1/15/2015 9:00:00 AM"
1.241,1.823,"1/15/2015 9:00:00 AM"
1.241,1.823,"1/15/2015 9:00:00 AM"
1.264,1.835,"1/15/2015 9:00:00 AM"
1.264,1.835,"1/15/2015 9:00:00 AM"
1.264,1.835,"1/15/2015 9:00:00 AM"
0.555,0.779,"1/16/2015 10:00:00 AM"
1.34,1.946,"1/16/2015 10:00:00 AM"
1.345,1.97,"1/16/2015 10:00:00 AM"
0.555,0.779,"1/16/2015 9:00:00 AM"
0.555,0.779,"1/16/2015 9:00:00 AM"
1.34,1.946,"1/16/2015 9:00:00 AM"
1.34,1.946,"1/16/2015 9:00:00 AM"
1.345,1.97,"1/16/2015 9:00:00 AM"
1.345,1.97,"1/16/2015 9:00:00 AM"
1.345,1.97,"1/16/2015 9:00:00 AM"
0.597,0.82,"1/17/2015 10:00:00 AM"
1.425,2.048,"1/17/2015 10:00:00 AM"
1.468,2.084,"1/17/2015 10:00:00 AM"
0.597,0.82,"1/17/2015 9:00:00 AM"
0.597,0.82,"1/17/2015 9:00:00 AM"
1.425,2.048,"1/17/2015 9:00:00 AM"
1.425,2.048,"1/17/2015 9:00:00 AM"
1.468,2.084,"1/17/2015 9:00:00 AM"
1.468,2.084,"1/17/2015 9:00:00 AM"
1.468,2.084,"1/17/2015 9:00:00 AM"
0.739,1.003,"1/19/2015 10:30:00 AM"
0.739,1.003,"1/19/2015 10:30:00 AM"
1.582,2.335,"1/19/2015 10:30:00 AM"
1.582,2.335,"1/19/2015 10:30:00 AM"
1.623,2.368,"1/19/2015 10:30:00 AM"
1.623,2.368,"1/19/2015 10:30:00 AM"
1.623,2.368,"1/19/2015 10:30:00 AM"
0.739,1.003,"1/19/2015 11:30:00 AM"
1.582,2.335,"1/19/2015 11:30:00 AM"
1.623,2.368,"1/19/2015 11:30:00 AM"
0.606,0.834,"1/2/2015 10:30:00 AM"
0.61,0.845,"1/2/2015 10:30:00 AM"
0.606,0.834,"1/2/2015 9:30:00 AM"
0.606,0.834,"1/2/2015 9:30:00 AM"
0.61,0.845,"1/2/2015 9:30:00 AM"
0.606,0.834,"1/2/2015 9:30:00 AM"
0.61,0.845,"1/2/2015 9:30:00 AM"
0.769,1.019,"1/20/2015 10:00:00 AM"
1.978,2.633,"1/20/2015 10:00:00 AM"
1.978,2.633,"1/20/2015 10:00:00 AM"
1.985,2.643,"1/20/2015 10:00:00 AM"
0.74,1.07,"1/20/2015 11:00:00 AM"
0.74,1.07,"1/20/2015 11:00:00 AM"
0.8,1.16,"1/20/2015 11:00:00 AM"
0.89,1.33,"1/20/2015 12:00:00 PM"
0.71,1.14,"1/20/2015 12:00:00 PM"
0.76,1.1,"1/20/2015 12:00:00 PM"
0.8,1.16,"1/20/2015 12:00:00 PM"
0.8,1.14,"1/20/2015 2:30:00 PM"
0.84,1.18,"1/20/2015 2:30:00 PM"
0.84,1.18,"1/20/2015 2:30:00 PM"
0.82,1.19,"1/20/2015 2:30:00 PM"
0.8,1.19,"1/20/2015 2:30:00 PM"
0.88,1.26,"1/20/2015 2:30:00 PM"
0.98,1.43,"1/20/2015 2:30:00 PM"
