"","Batch","TIMESTAMP","pH","EC","DO","Temp","CO2","Reactor_information","Experiment"
"1","PW1MMW16","1/28/2016 14:00",8.54,0.741,7.701,14.36,0.006,"Traditional 1","UAMMW"
"2","PW1MMW16","1/28/2016 14:10",8.43,0.762,NA,15.13,1.435,"Traditional 1","UAMMW"
"3","PW1MMW16","1/28/2016 14:20",7.986,0.763,10.49,15.37,1.435,"Traditional 1","UAMMW"
"4","PW1MMW16","1/28/2016 14:30",8,0.763,10.49,15.61,1.636,"Traditional 1","UAMMW"
"5","PW1MMW16","1/28/2016 14:40",8.01,0.763,10.44,15.82,1.837,"Traditional 1","UAMMW"
"6","PW1MMW16","1/28/2016 14:50",7.995,0.764,10.34,15.99,1.837,"Traditional 1","UAMMW"
"7","PW1MMW16","1/28/2016 15:00",7.996,0.764,10.2,16.15,2.039,"Traditional 1","UAMMW"
"8","PW1MMW16","1/28/2016 15:10",8.02,0.764,9.85,16.32,2.218,"Traditional 1","UAMMW"
"9","PW1MMW16","1/28/2016 15:20",7.985,0.765,9.72,16.46,2.222,"Traditional 1","UAMMW"
"10","PW1MMW16","1/28/2016 15:30",8.01,0.765,9.64,16.54,2.413,"Traditional 1","UAMMW"
"11","PW1MMW16","1/28/2016 15:40",8,0.765,9.5,16.52,2.413,"Traditional 1","UAMMW"
"12","PW1MMW16","1/28/2016 15:50",7.993,0.765,9.35,16.45,2.601,"Traditional 1","UAMMW"
"13","PW1MMW16","1/28/2016 16:00",8.01,0.764,9.28,16.42,2.794,"Traditional 1","UAMMW"
"14","PW1MMW16","1/28/2016 16:10",8,0.765,9.28,16.38,2.794,"Traditional 1","UAMMW"
"15","PW1MMW16","1/28/2016 16:20",7.99,0.765,9.31,16.34,2.993,"Traditional 1","UAMMW"
"16","PW1MMW16","1/28/2016 16:30",8.01,0.766,9.27,16.25,3.179,"Traditional 1","UAMMW"
"17","PW1MMW16","1/28/2016 16:40",8.01,0.765,9.23,16.13,3.179,"Traditional 1","UAMMW"
"18","PW1MMW16","1/28/2016 16:50",7.992,0.765,9.17,15.98,3.358,"Traditional 1","UAMMW"
"19","PW1MMW16","1/28/2016 17:00",8.01,0.765,9.04,15.8,3.542,"Traditional 1","UAMMW"
"20","PW1MMW16","1/28/2016 17:10",7.997,0.764,8.95,15.58,3.542,"Traditional 1","UAMMW"
"21","PW1MMW16","1/28/2016 17:20",7.999,0.763,8.82,15.36,3.719,"Traditional 1","UAMMW"
"22","PW1MMW16","1/28/2016 17:30",8,0.762,8.68,15.15,3.719,"Traditional 1","UAMMW"
"23","PW1MMW16","1/28/2016 17:40",8,0.761,8.56,14.94,3.891,"Traditional 1","UAMMW"
"24","PW1MMW16","1/28/2016 17:50",7.999,0.76,8.4,14.73,3.891,"Traditional 1","UAMMW"
"25","PW1MMW16","1/28/2016 18:00",8.02,0.759,8.24,14.52,4.049,"Traditional 1","UAMMW"
"26","PW1MMW16","1/28/2016 18:10",7.973,0.758,8.1,14.33,4.049,"Traditional 1","UAMMW"
"27","PW1MMW16","1/28/2016 18:20",8.01,0.757,7.978,14.15,4.049,"Traditional 1","UAMMW"
"28","PW1MMW16","1/28/2016 18:30",8.02,0.755,7.881,13.98,4.136,"Traditional 1","UAMMW"
"29","PW1MMW16","1/28/2016 18:40",7.993,0.754,7.797,13.8,4.136,"Traditional 1","UAMMW"
"30","PW1MMW16","1/28/2016 18:50",8.03,0.753,7.741,13.62,4.136,"Traditional 1","UAMMW"
"31","PW1MMW16","1/28/2016 19:00",8,0.752,7.718,13.46,4.136,"Traditional 1","UAMMW"
"32","PW1MMW16","1/28/2016 19:10",8.02,0.751,7.711,13.28,4.136,"Traditional 1","UAMMW"
"33","PW1MMW16","1/28/2016 19:20",8.05,0.751,7.7,13.09,4.136,"Traditional 1","UAMMW"
"34","PW1MMW16","1/28/2016 19:30",8.09,0.75,7.683,12.92,4.136,"Traditional 1","UAMMW"
"35","PW1MMW16","1/28/2016 19:40",8.12,0.75,7.701,12.74,4.136,"Traditional 1","UAMMW"
"36","PW1MMW16","1/28/2016 19:50",8.14,0.749,7.708,12.56,4.136,"Traditional 1","UAMMW"
"37","PW1MMW16","1/28/2016 20:00",8.17,0.749,7.726,12.39,4.136,"Traditional 1","UAMMW"
"38","PW1MMW16","1/28/2016 20:10",8.19,0.749,7.734,12.22,4.136,"Traditional 1","UAMMW"
"39","PW1MMW16","1/28/2016 20:20",8.21,0.748,7.754,12.04,4.136,"Traditional 1","UAMMW"
"40","PW1MMW16","1/28/2016 20:30",8.23,0.748,7.761,11.83,4.136,"Traditional 1","UAMMW"
"41","PW1MMW16","1/28/2016 20:40",8.25,0.747,7.81,11.66,4.136,"Traditional 1","UAMMW"
"42","PW1MMW16","1/28/2016 20:50",8.27,0.747,7.823,11.48,4.136,"Traditional 1","UAMMW"
"43","PW1MMW16","1/28/2016 21:00",8.28,0.747,7.854,11.28,4.136,"Traditional 1","UAMMW"
"44","PW1MMW16","1/28/2016 21:10",8.3,0.747,7.852,11.11,4.136,"Traditional 1","UAMMW"
"45","PW1MMW16","1/28/2016 21:20",8.31,0.747,7.859,10.91,4.136,"Traditional 1","UAMMW"
"46","PW1MMW16","1/28/2016 21:30",8.32,0.747,7.904,10.72,4.136,"Traditional 1","UAMMW"
"47","PW1MMW16","1/28/2016 21:40",8.33,0.747,7.942,10.53,4.136,"Traditional 1","UAMMW"
"48","PW1MMW16","1/28/2016 21:50",8.34,0.747,7.962,10.33,4.136,"Traditional 1","UAMMW"
"49","PW1MMW16","1/28/2016 22:00",8.35,0.747,7.998,10.13,4.136,"Traditional 1","UAMMW"
"50","PW1MMW16","1/28/2016 22:10",8.36,0.746,8.03,9.94,4.136,"Traditional 1","UAMMW"
"51","PW1MMW16","1/28/2016 22:20",8.37,0.746,8.08,9.75,4.136,"Traditional 1","UAMMW"
"52","PW1MMW16","1/28/2016 22:30",8.37,0.745,8.1,9.58,4.136,"Traditional 1","UAMMW"
"53","PW1MMW16","1/28/2016 22:40",8.38,0.745,8.15,9.4,4.136,"Traditional 1","UAMMW"
"54","PW1MMW16","1/28/2016 22:50",8.38,0.744,8.15,9.23,4.136,"Traditional 1","UAMMW"
"55","PW1MMW16","1/28/2016 23:00",8.39,0.743,7.966,9.06,4.136,"Traditional 1","UAMMW"
"56","PW1MMW16","1/28/2016 23:10",8.4,0.743,8.01,8.85,4.136,"Traditional 1","UAMMW"
"57","PW1MMW16","1/28/2016 23:20",8.4,0.743,8.04,8.68,4.136,"Traditional 1","UAMMW"
"58","PW1MMW16","1/28/2016 23:30",8.41,0.743,8.07,8.51,4.136,"Traditional 1","UAMMW"
"59","PW1MMW16","1/28/2016 23:40",8.41,0.743,8.09,8.33,4.136,"Traditional 1","UAMMW"
"60","PW1MMW16","1/28/2016 23:50",8.42,0.743,8.14,8.15,4.136,"Traditional 1","UAMMW"
"61","PW1MMW16","1/29/2016 0:00",8.42,0.743,8.15,7.982,4.136,"Traditional 1","UAMMW"
"62","PW1MMW16","1/29/2016 0:10",8.43,0.743,8.16,7.798,4.136,"Traditional 1","UAMMW"
"63","PW1MMW16","1/29/2016 0:20",8.43,0.743,8.22,7.62,4.136,"Traditional 1","UAMMW"
"64","PW1MMW16","1/29/2016 0:30",8.44,0.743,8.27,7.498,4.136,"Traditional 1","UAMMW"
"65","PW1MMW16","1/29/2016 0:40",8.44,0.742,8.3,7.323,4.136,"Traditional 1","UAMMW"
"66","PW1MMW16","1/29/2016 0:50",8.44,0.741,8.33,7.158,4.136,"Traditional 1","UAMMW"
"67","PW1MMW16","1/29/2016 1:00",8.44,0.741,8.36,7.004,4.136,"Traditional 1","UAMMW"
"68","PW1MMW16","1/29/2016 1:10",8.44,0.739,8.39,6.837,4.136,"Traditional 1","UAMMW"
"69","PW1MMW16","1/29/2016 1:20",8.45,0.739,8.42,6.682,4.136,"Traditional 1","UAMMW"
"70","PW1MMW16","1/29/2016 1:30",8.45,0.738,8.45,6.51,4.136,"Traditional 1","UAMMW"
"71","PW1MMW16","1/29/2016 1:40",8.45,0.737,8.48,6.351,4.136,"Traditional 1","UAMMW"
"72","PW1MMW16","1/29/2016 1:50",8.45,0.737,8.5,6.183,4.136,"Traditional 1","UAMMW"
"73","PW1MMW16","1/29/2016 2:00",8.45,0.737,8.53,6.013,4.136,"Traditional 1","UAMMW"
"74","PW1MMW16","1/29/2016 2:10",8.46,0.732,8.56,5.857,4.136,"Traditional 1","UAMMW"
"75","PW1MMW16","1/29/2016 2:20",8.46,0.727,8.59,5.696,4.136,"Traditional 1","UAMMW"
"76","PW1MMW16","1/29/2016 2:30",8.46,0.726,8.62,5.542,4.136,"Traditional 1","UAMMW"
"77","PW1MMW16","1/29/2016 2:40",8.46,0.726,8.65,5.388,4.136,"Traditional 1","UAMMW"
"78","PW1MMW16","1/29/2016 2:50",8.47,0.725,8.68,5.21,4.136,"Traditional 1","UAMMW"
"79","PW1MMW16","1/29/2016 3:00",8.47,0.725,8.7,5.048,4.136,"Traditional 1","UAMMW"
"80","PW1MMW16","1/29/2016 3:10",8.47,0.724,8.72,4.882,4.136,"Traditional 1","UAMMW"
"81","PW1MMW16","1/29/2016 3:20",8.47,0.724,8.75,4.719,4.136,"Traditional 1","UAMMW"
"82","PW1MMW16","1/29/2016 3:30",8.48,0.724,8.78,4.564,4.136,"Traditional 1","UAMMW"
"83","PW1MMW16","1/29/2016 3:40",8.48,0.724,8.82,4.419,4.136,"Traditional 1","UAMMW"
"84","PW1MMW16","1/29/2016 3:50",8.48,0.724,8.85,4.293,4.136,"Traditional 1","UAMMW"
